t	N	S	f197536	f197553	f205457	f205440	f197537
575	2526	70	0	0	0	0	0
576	2519	82	0	0	0	0	0
577	2553	77	0	0	0	0	0
578	2535	85	0	0	0	0	0
579	2506	72	0	0	0	0	0
580	2484	84	0	0	0	0	0
581	2516	72	0	0	0	0	0
582	2534	72	0	0	0	0	0
583	2525	84	0	0	0	0	0
584	2507	82	0	0	0	0	0
585	2479	86	0	0	0	0	0
586	2484	85	0	0	0	0	0
587	2492	77	0	0	0	0	0
588	2504	81	0	0	0	0	0
589	2486	87	0	0	0	0	0
590	2475	88	0	0	0	0	0
591	2508	85	0	0	0	0	0
592	2524	80	0	0	0	0	0
593	2487	90	0	0	0	0	0
594	2478	81	0	0	0	0	0
595	2490	75	0	0	0	0	0
596	2544	80	0	0	0	0	0
597	2535	82	0	0	0	0	0
598	2525	77	0	0	0	0	0
599	2516	83	0	0	0	0	0
600	2486	83	0	0	0	0	0
601	2494	91	0	0	0	0	0
602	2482	87	0	0	0	0	0
603	2509	81	0	0	0	0	0
604	2508	89	0	0	0	0	0
605	2475	90	0	0	0	0	0
606	2511	85	0	0	0	0	0
607	2522	80	0	0	0	0	0
608	2490	82	0	0	0	0	0
609	2544	88	0	0	0	0	0
610	2519	81	0	0	0	0	0
611	2510	81	0	0	0	0	0
612	2513	83	0	0	0	0	0
613	2529	72	0	0	0	0	0
614	2520	84	0	0	0	0	0
615	2522	80	0	0	0	0	0
616	2538	88	0	0	0	0	0
617	2517	88	0	0	0	0	0
618	2498	76	0	0	0	0	0
619	2510	78	0	0	0	0	0
620	2476	86	0	0	0	0	0
621	2526	81	0	0	0	0	0
622	2498	79	0	0	0	0	0
623	2495	83	0	0	0	0	0
624	2519	80	0	0	0	0	0
625	2482	80	0	0	0	0	0
626	2498	76	0	0	0	0	0
627	2564	83	0	0	0	0	0
628	2528	92	0	0	0	0	0
629	2531	90	0	0	0	0	0
630	2501	83	0	0	0	0	0
631	2488	89	0	0	0	0	0
632	2522	81	0	0	0	0	0
633	2518	81	0	0	0	0	0
634	2496	87	0	0	0	0	0
635	2479	92	0	0	0	0	0
636	2497	81	0	0	0	0	0
637	2517	82	0	0	0	0	0
638	2498	78	0	0	0	0	0
639	2559	74	0	0	0	0	0
640	2538	68	0	0	0	0	0
641	2507	81	0	0	0	0	0
642	2486	83	0	0	0	0	0
643	2491	82	0	0	0	0	0
644	2482	82	0	0	0	0	0
645	2504	88	0	0	0	0	0
646	2503	81	0	0	0	0	0
647	2522	74	0	0	0	0	0
648	2527	76	0	0	0	0	0
649	2504	83	0	0	0	0	0
650	2504	71	0	0	0	0	0
651	2481	82	0	0	0	0	0
652	2523	72	0	0	0	0	0
653	2517	75	0	0	0	0	0
654	2542	78	0	0	0	0	0
655	2523	85	0	0	0	0	0
656	2523	84	0	0	0	0	0
657	2471	71	0	0	0	0	0
658	2508	76	0	0	0	0	0
659	2519	74	0	0	0	0	0
660	2519	83	0	0	0	0	0
661	2484	91	0	0	0	0	0
662	2541	74	0	0	0	0	0
663	2536	79	0	0	0	0	0
664	2518	91	0	0	0	0	0
665	2515	85	0	0	0	0	0
666	2476	85	0	0	0	0	0
667	2500	80	0	0	0	0	0
668	2550	82	0	0	0	0	0
669	2494	80	0	0	0	0	0
670	2467	81	0	0	0	0	0
671	2557	82	0	0	0	0	0
672	2494	90	0	0	0	0	0
673	2520	90	0	0	0	0	0
674	2511	85	0	0	0	0	0
675	2499	78	0	0	0	0	0
676	2516	68	0	0	0	0	0
677	2539	66	0	0	0	0	0
678	2452	76	0	0	0	0	0
679	2491	73	0	0	0	0	0
680	2537	86	0	0	0	0	0
681	2524	84	0	0	0	0	0
682	2515	79	0	0	0	0	0
683	2510	83	0	0	0	0	0
684	2500	82	0	0	0	0	0
685	2483	93	0	0	0	0	0
686	2543	80	0	0	0	0	0
687	2527	80	0	0	0	0	0
688	2516	87	0	0	0	0	0
689	2516	88	0	0	0	0	0
690	2510	91	0	0	0	0	0
691	2518	84	0	0	0	0	0
692	2495	79	0	0	0	0	0
693	2470	83	0	0	0	0	0
694	2515	88	0	0	0	0	0
695	2536	91	0	0	0	0	0
696	2521	83	0	0	0	0	0
697	2486	84	0	0	0	0	0
698	2501	84	0	0	0	0	0
699	2517	75	0	0	0	0	0
700	2540	76	0	0	0	0	0
701	2455	87	0	0	0	0	0
702	2502	86	0	0	0	0	0
703	2482	80	0	0	0	0	0
